Sitio #;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;MELFOR;1;;;;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M
23;23F;Encino Rd 3;03/31/2016;13:00;3;0;0;MNIVAR;1;;;M;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;TROCAL;1;;;;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SALMAX;1;;;;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SETVIR;1;;;H;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;VIRPHI;3;;;;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;AMARUT;2;;;;;;;;;;;;;;;;G/B/M
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;PSAWAG;1;;;;;;;;;;;;;;;;B/G/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;EUPEXI;1;;;;;;;;;;;;;;;;B/G/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;SETVIR;2;;;M;;;;;;;;;;;;;B/G/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;MYAUNI;1;;;;;;;;;;;;;;;;B/G/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;MICPHI;1;;;;;;;;;;;;;;;;B/G/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;AMBHOL;1;;;;;;;;;;;;;;;;B/G/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;HENLES*;1;;;;;;;;;;;;;;;;B/G/M
30;30F;Finca de Alan;3/8/2016;09:12;2;0;0;HYLDEC;1;;;;;;;;;;;;;;;;B/G/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;VERCRY;1;;;M;;;;;;;;;10;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;HENLES*;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;BASRUF;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;DUMCAR;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;SETVIR;1;;;M;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;MNIVAR;1;;;H;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M
15;15C;Finca de Allan;3/8/2016;11:42;0;1;0;ONCCIN;1;;;;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;PSIMOR;2;;;;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;RAMSUL;1;;;;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;SETFUS;1;;;M;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;PIACAY;1;;;;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;SETVIR;1;;;M;;;;;;;;;;;;;G/B/M
